[331, [-0.0, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[332, [-0.01, -0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[333, [-0.01, 0.0, 0.9, -1, 1, 1, 23.52], 0.06760312],
[334, [-0.01, 0.0, 0.9, -2, 1, 1, 23.42], 0.06760312],
[335, [-0.0, 0.01, 0.9, -1, 1, 1, 23.38], 0.06760312],
[336, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[337, [-0.01, 0.0, 0.89, -1, 1, 1, 23.47], 0.06760312],
[338, [-0.01, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[339, [-0.01, 0.01, 0.91, -2, 1, 1, 23.47], 0.06760312],
[340, [-0.0, 0.01, 0.91, -2, 2, 1, 23.42], 0.06760312],
[341, [-0.01, 0.01, 0.91, -2, 1, 1, 23.42], 0.06760312],
